customer_id,signup_date,acquisition_channel,signup_discount,plan_type,meals_per_week,servings,weekly_price,weeks_active,weeks_skipped,skip_rate,times_paused,support_contacts,delivery_issues,app_sessions_last_30_days,avg_recipe_rating,avg_recipe_difficulty_rating,nps_score,churned,weeks_to_churn
HF-00017,2022-04-10,paid_social,50_percent,Pescatarian,3,2,30.71,32,8,0.24,1,3,1,12,5.0,2.8,32,0,
HF-00018,2024-05-21,influencer,30_percent,Veggie,3,2,29.14,64,9,0.15,3,1,1,9,4.1,1.2,45,0,
HF-00019,2023-10-26,paid_social,50_percent,Classic,2,2,20.89,58,9,0.16,1,1,1,18,5.0,3.1,24,0,
HF-00020,2022-05-11,referral,50_percent,Classic,5,4,102.26,39,2,0.06,0,1,2,14,5.0,2.9,96,1,36
HF-00021,2023-10-24,paid_social,50_percent,Fit_and_Wholesome,3,4,59.04,53,6,0.11,0,0,0,7,4.0,4.5,-38,0,
HF-00022,2022-11-05,paid_social,30_percent,Veggie,4,2,39.81,28,11,0.4,2,2,2,6,3.2,3.1,47,1,16
HF-00023,2024-02-09,paid_social,none,Veggie,3,2,28.3,65,10,0.15,2,1,1,14,5.0,1.9,97,0,
HF-00024,2022-12-10,paid_social,30_percent,Classic,3,2,26.37,91,1,0.01,1,0,0,18,2.5,3.1,-8,0,
HF-00025,2023-05-07,influencer,none,Classic,5,2,51.46,78,6,0.08,0,0,0,17,4.9,3.6,88,0,
HF-00026,2023-02-18,paid_social,30_percent,Family,2,2,19.91,41,4,0.1,0,0,0,15,4.2,3.1,40,0,
HF-00027,2024-03-16,tv_ad,none,Veggie,2,2,20.06,63,3,0.04,1,2,0,14,5.0,3.1,93,1,24
HF-00028,2023-01-21,referral,50_percent,Classic,2,2,17.99,63,5,0.09,0,0,0,15,5.0,2.2,98,0,
HF-00029,2022-07-11,referral,30_percent,Veggie,4,2,39.55,85,4,0.05,0,0,0,19,5.0,2.4,100,0,
HF-00030,2022-10-04,referral,free_first_box,Fit_and_Wholesome,2,2,22.15,48,6,0.13,1,2,1,11,5.0,2.5,100,1,20
HF-00031,2022-06-10,referral,30_percent,Classic,2,4,39.92,91,2,0.02,0,1,0,23,4.5,3.1,66,0,
HF-00032,2023-04-05,organic,30_percent,Classic,2,2,20.02,78,9,0.12,0,1,0,22,4.9,2.2,95,0,
HF-00033,2022-11-10,paid_social,30_percent,Veggie,3,4,60.3,49,11,0.23,0,1,1,11,4.6,2.9,100,0,
HF-00034,2022-01-22,paid_social,none,Fit_and_Wholesome,3,2,27.47,79,5,0.07,0,0,0,17,3.8,2.9,21,0,
HF-00035,2022-09-10,influencer,free_first_box,Fit_and_Wholesome,2,2,21.21,7,4,0.52,3,2,1,0,5.0,2.1,44,1,5
HF-00036,2024-01-18,tv_ad,none,Pescatarian,5,2,47.39,88,7,0.08,0,0,0,14,4.4,2.5,100,0,
HF-00037,2024-05-06,influencer,free_first_box,Classic,5,4,97.92,1,0,0.39,2,4,2,2,4.1,3.5,65,1,1
HF-00038,2023-07-15,referral,free_first_box,Classic,2,4,37.82,69,17,0.25,1,1,1,24,5.0,3.0,17,0,
HF-00039,2023-04-20,organic,50_percent,Family,4,4,79.49,45,0,0.0,0,2,0,12,4.9,2.3,100,0,
HF-00040,2022-02-28,referral,50_percent,Classic,3,4,59.18,59,4,0.07,0,0,0,16,5.0,3.4,100,0,
HF-00041,2023-05-26,referral,50_percent,Veggie,2,2,19.96,63,0,0.0,0,0,1,13,5.0,2.7,84,0,
HF-00042,2023-11-13,paid_social,30_percent,Fit_and_Wholesome,2,4,38.11,36,15,0.41,3,3,2,10,4.1,1.8,58,1,13
HF-00043,2023-04-21,referral,50_percent,Veggie,3,4,61.89,71,11,0.15,0,0,1,15,4.5,2.3,94,0,
HF-00044,2023-12-01,paid_social,none,Classic,3,4,61.55,62,5,0.08,1,1,0,11,4.7,2.7,90,0,
HF-00045,2024-02-22,paid_social,none,Fit_and_Wholesome,2,4,39.57,53,6,0.11,1,2,0,10,4.8,3.1,24,0,
HF-00046,2022-07-09,influencer,50_percent,Fit_and_Wholesome,4,4,78.88,49,9,0.19,0,2,0,8,5.0,2.9,88,1,30
HF-00047,2023-11-18,paid_social,50_percent,Veggie,3,2,28.78,37,11,0.29,1,1,1,12,3.9,2.9,30,1,13
HF-00048,2023-07-17,paid_social,free_first_box,Veggie,3,4,59.26,30,5,0.18,3,3,1,8,3.6,3.2,-59,1,14
HF-00049,2024-05-25,paid_social,none,Classic,2,4,37.12,67,1,0.01,0,0,1,14,5.0,2.5,100,0,
HF-00050,2023-07-21,tv_ad,free_first_box,Classic,3,4,57.96,40,13,0.33,2,2,0,6,2.8,3.6,7,1,18
HF-00051,2022-09-01,referral,30_percent,Classic,3,2,31.66,74,0,0.0,1,0,0,21,5.0,2.1,100,0,
HF-00052,2024-04-11,referral,30_percent,Classic,3,2,30.54,84,0,0.0,0,0,0,12,5.0,2.5,90,0,
HF-00053,2023-05-20,influencer,30_percent,Family,4,4,83.11,60,14,0.23,1,2,1,10,4.4,2.7,76,1,53
HF-00054,2022-05-11,influencer,50_percent,Fit_and_Wholesome,4,4,79.24,63,3,0.06,2,3,1,11,5.0,2.2,94,0,
HF-00055,2023-04-30,paid_social,30_percent,Fit_and_Wholesome,3,4,59.16,79,0,0.0,0,0,0,18,4.1,3.3,33,0,
HF-00056,2024-03-29,organic,50_percent,Veggie,3,2,29.12,89,13,0.15,1,1,0,19,4.9,3.3,1,0,
HF-00057,2023-10-09,organic,free_first_box,Classic,5,4,99.16,55,13,0.24,1,1,2,13,4.2,1.6,69,0,
HF-00058,2022-01-21,organic,50_percent,Family,3,2,28.62,69,7,0.1,0,0,0,20,5.0,2.5,100,0,
HF-00059,2024-04-20,paid_social,50_percent,Classic,2,4,40.46,14,4,0.31,1,3,2,0,2.9,4.2,-31,1,5
HF-00060,2022-06-16,influencer,free_first_box,Classic,3,2,30.0,4,1,0.34,2,3,2,4,3.3,4.5,-66,1,2
HF-00061,2022-10-01,referral,50_percent,Veggie,2,4,38.9,68,8,0.12,0,1,1,15,5.0,2.9,93,1,60
HF-00062,2023-01-23,paid_social,50_percent,Pescatarian,4,2,42.42,39,13,0.34,0,2,1,7,4.0,3.7,34,0,
HF-00063,2023-08-24,referral,30_percent,Pescatarian,3,2,33.73,87,0,0.0,0,0,0,21,5.0,2.4,92,0,
HF-00064,2022-11-12,paid_social,free_first_box,Classic,3,2,32.27,7,3,0.41,3,3,2,7,4.9,3.2,63,1,5
HF-00065,2022-01-14,paid_social,50_percent,Pescatarian,2,2,21.08,13,5,0.35,1,4,2,1,4.4,3.0,29,0,
HF-00066,2022-08-30,organic,30_percent,Classic,3,4,61.4,76,0,0.01,0,0,0,12,4.4,3.2,69,0,
HF-00067,2024-02-16,paid_social,30_percent,Classic,5,4,103.51,15,8,0.51,2,5,1,1,3.1,3.8,56,1,12
HF-00068,2022-12-12,referral,free_first_box,Pescatarian,2,4,41.44,31,6,0.18,1,2,1,7,4.7,3.1,75,0,
HF-00069,2023-07-19,referral,none,Pescatarian,3,2,28.77,80,8,0.09,0,0,0,17,5.0,2.3,73,0,
HF-00070,2024-06-16,paid_social,free_first_box,Veggie,5,4,100.58,19,5,0.26,0,2,1,10,3.9,4.0,8,0,
HF-00071,2022-12-06,tv_ad,none,Veggie,3,2,31.19,69,5,0.07,0,1,0,16,5.0,2.6,88,0,
HF-00072,2022-04-02,paid_social,50_percent,Fit_and_Wholesome,3,4,57.89,53,18,0.34,2,2,2,6,4.5,3.1,61,0,
HF-00073,2023-01-02,paid_social,30_percent,Fit_and_Wholesome,3,4,59.31,75,14,0.19,0,1,1,3,4.3,2.4,100,0,
HF-00074,2023-03-31,paid_social,50_percent,Pescatarian,3,2,32.14,73,1,0.02,0,0,0,19,4.3,3.6,-10,0,
HF-00075,2023-03-04,paid_social,free_first_box,Veggie,2,2,16.31,46,18,0.39,2,2,2,12,3.1,3.5,-42,0,
HF-00076,2023-05-24,paid_social,50_percent,Family,2,2,17.46,41,12,0.29,1,3,1,5,4.4,3.5,64,0,
HF-00077,2024-02-15,organic,50_percent,Family,3,4,59.53,71,14,0.2,2,2,1,10,4.9,2.3,98,0,
HF-00078,2022-02-04,tv_ad,none,Classic,5,2,50.61,72,0,0.0,2,0,0,15,4.7,3.1,100,0,
HF-00079,2022-07-25,paid_social,none,Pescatarian,2,4,37.2,68,5,0.07,1,0,0,13,5.0,1.0,90,0,
HF-00080,2022-03-22,organic,30_percent,Veggie,2,2,19.71,65,8,0.12,0,0,0,20,5.0,2.3,79,0,
HF-00081,2023-07-16,organic,50_percent,Classic,3,4,62.19,64,6,0.09,0,1,0,11,4.1,2.0,42,0,
HF-00082,2024-05-21,influencer,none,Veggie,4,4,79.98,62,6,0.1,0,0,0,20,4.6,2.7,85,0,
HF-00083,2023-01-23,referral,none,Classic,2,2,21.84,63,0,0.0,0,0,0,18,4.8,3.1,97,0,
HF-00084,2022-01-02,paid_social,50_percent,Veggie,4,4,78.66,37,9,0.25,2,3,1,1,4.8,3.0,27,1,16
HF-00085,2023-01-25,paid_social,50_percent,Pescatarian,2,4,38.3,26,14,0.53,5,4,2,0,4.2,3.9,7,1,19
HF-00086,2023-07-20,organic,50_percent,Classic,5,4,101.5,37,10,0.26,1,2,1,3,5.0,2.0,100,1,36
HF-00087,2022-04-16,influencer,30_percent,Classic,3,2,30.68,78,0,0.0,0,1,0,18,5.0,2.0,52,0,
HF-00088,2024-02-11,paid_social,none,Family,3,2,27.57,52,4,0.07,0,2,1,10,4.4,3.0,100,0,
HF-00089,2024-04-01,paid_social,free_first_box,Classic,3,2,28.34,45,15,0.33,1,1,0,9,4.2,3.9,35,1,25
HF-00090,2023-04-22,influencer,30_percent,Classic,4,2,43.05,28,4,0.15,1,3,1,12,5.0,2.6,92,0,
HF-00091,2023-12-04,influencer,free_first_box,Classic,2,2,18.11,32,11,0.33,2,2,2,10,3.9,4.4,-18,0,
HF-00092,2023-02-06,tv_ad,free_first_box,Veggie,2,2,21.83,39,9,0.24,3,3,1,6,4.8,3.2,46,1,21
HF-00093,2023-12-31,organic,50_percent,Veggie,3,4,58.92,33,9,0.28,2,2,1,8,4.9,2.7,100,0,
HF-00094,2023-07-10,paid_social,30_percent,Fit_and_Wholesome,4,2,39.91,45,10,0.21,1,1,2,8,4.4,2.4,74,1,18
HF-00095,2022-06-11,referral,free_first_box,Veggie,4,4,80.43,57,19,0.34,1,3,1,13,4.0,2.0,89,1,56
HF-00096,2022-07-21,organic,50_percent,Fit_and_Wholesome,3,2,25.74,70,12,0.17,1,0,0,22,5.0,2.3,100,0,
HF-00097,2022-09-27,paid_social,50_percent,Veggie,3,4,56.95,36,6,0.17,0,2,1,9,4.3,3.8,9,0,
HF-00098,2024-05-12,referral,30_percent,Classic,2,4,40.09,57,5,0.09,1,0,0,19,4.3,2.6,100,0,
HF-00099,2024-03-26,organic,30_percent,Fit_and_Wholesome,4,2,38.47,54,0,0.0,1,0,0,12,5.0,2.3,100,0,
HF-00100,2022-09-28,paid_social,none,Fit_and_Wholesome,4,4,81.83,81,4,0.05,1,0,0,18,4.0,2.0,100,0,
HF-00101,2023-04-01,organic,50_percent,Veggie,3,2,26.73,31,8,0.27,1,3,1,9,3.6,3.2,54,0,
HF-00102,2023-04-07,referral,50_percent,Classic,3,4,61.01,70,0,0.0,1,0,1,17,4.7,1.9,100,0,
HF-00103,2023-12-28,tv_ad,30_percent,Classic,5,2,47.15,86,1,0.01,0,0,0,12,4.7,2.7,100,0,
HF-00104,2022-09-09,paid_social,50_percent,Classic,4,2,39.22,26,9,0.35,0,2,1,2,4.4,2.7,41,1,17
HF-00105,2023-12-03,paid_social,30_percent,Classic,3,2,27.81,87,12,0.13,1,1,0,15,3.3,2.8,33,0,
HF-00106,2022-10-23,organic,50_percent,Fit_and_Wholesome,3,2,33.74,51,11,0.21,1,1,0,8,4.6,3.2,32,0,
HF-00107,2023-12-26,paid_social,free_first_box,Classic,3,2,27.26,32,8,0.25,2,2,1,5,4.5,2.6,-25,1,26
HF-00108,2023-12-21,organic,30_percent,Fit_and_Wholesome,3,2,29.7,66,0,0.0,2,1,0,15,4.5,2.5,100,0,
HF-00109,2024-01-19,organic,30_percent,Classic,3,2,26.49,42,7,0.17,0,3,1,15,4.8,1.6,100,0,
HF-00110,2022-12-04,paid_social,none,Classic,3,4,63.08,61,9,0.15,1,1,1,16,4.1,2.8,50,0,
HF-00111,2024-05-28,referral,50_percent,Veggie,3,2,30.74,71,5,0.07,0,0,0,16,4.9,2.9,67,0,
HF-00112,2022-02-22,referral,50_percent,Classic,3,2,30.21,80,0,0.01,0,2,1,19,4.4,3.0,76,0,
HF-00113,2024-03-02,paid_social,free_first_box,Pescatarian,3,2,32.89,1,0,0.46,3,4,2,1,3.6,3.6,25,1,1
HF-00114,2022-08-05,tv_ad,30_percent,Classic,2,4,40.21,48,3,0.07,1,0,0,16,4.9,2.9,100,0,
HF-00115,2024-02-03,influencer,free_first_box,Classic,4,2,40.36,11,4,0.35,3,3,1,0,4.3,2.8,52,1,6
HF-00116,2022-07-07,organic,none,Pescatarian,3,2,30.2,69,0,0.0,0,0,0,15,5.0,1.4,100,0,
HF-00117,2023-01-15,organic,50_percent,Veggie,2,2,21.09,104,0,0.0,0,1,0,21,4.7,3.2,95,0,
HF-00118,2023-05-08,referral,none,Classic,3,2,28.96,82,4,0.04,0,2,1,14,5.0,2.2,100,0,
HF-00119,2022-02-10,tv_ad,free_first_box,Classic,4,2,39.49,22,8,0.39,3,3,2,0,4.5,2.0,48,1,12
HF-00120,2022-06-06,organic,50_percent,Fit_and_Wholesome,4,2,41.54,66,4,0.06,0,1,0,17,4.4,3.6,100,0,
HF-00121,2022-01-15,organic,50_percent,Family,3,2,30.49,40,7,0.19,1,1,1,9,3.3,2.7,77,1,34
HF-00122,2024-03-23,influencer,free_first_box,Pescatarian,5,2,49.67,1,0,0.46,3,3,3,3,3.6,3.8,-30,1,0
HF-00123,2022-03-06,paid_social,30_percent,Classic,2,2,17.16,70,0,0.0,1,1,1,17,4.6,2.8,72,0,
HF-00124,2024-05-06,influencer,none,Family,5,2,52.9,63,5,0.08,0,0,0,11,4.4,2.5,93,0,
HF-00125,2024-04-18,paid_social,free_first_box,Classic,2,2,18.64,1,1,0.53,2,6,1,0,5.0,2.6,51,1,1
HF-00126,2023-06-05,paid_social,30_percent,Classic,2,4,41.89,36,11,0.31,4,3,1,7,5.0,2.5,28,1,31
HF-00127,2022-12-10,paid_social,none,Fit_and_Wholesome,3,2,30.29,57,4,0.07,1,0,0,14,5.0,3.8,100,0,
HF-00128,2022-05-09,tv_ad,50_percent,Classic,3,4,57.29,46,11,0.25,2,0,0,6,5.0,1.7,100,0,
HF-00129,2023-10-10,influencer,50_percent,Classic,3,2,32.44,34,5,0.14,1,2,0,8,2.8,2.6,71,0,
HF-00130,2023-04-17,organic,none,Classic,4,2,40.43,78,9,0.11,0,0,0,13,5.0,2.0,100,0,
HF-00131,2022-03-04,organic,30_percent,Classic,4,4,82.51,63,11,0.18,0,1,1,16,4.5,2.8,62,0,
HF-00132,2022-05-19,referral,none,Fit_and_Wholesome,3,2,29.58,89,0,0.0,1,1,0,16,4.7,2.3,100,0,
HF-00133,2023-05-14,tv_ad,50_percent,Veggie,3,2,31.35,40,1,0.03,2,1,1,12,5.0,2.2,100,0,
HF-00134,2023-08-16,referral,free_first_box,Classic,2,2,16.43,76,2,0.02,0,0,0,20,5.0,2.9,86,0,
HF-00135,2023-01-27,paid_social,free_first_box,Veggie,2,2,18.96,20,11,0.54,2,3,2,8,5.0,4.1,24,1,16
HF-00136,2023-11-06,paid_social,50_percent,Pescatarian,3,4,57.33,19,3,0.18,2,1,2,7,4.1,2.6,33,0,
HF-00137,2023-02-23,organic,30_percent,Fit_and_Wholesome,2,2,19.21,78,0,0.0,0,0,1,19,5.0,1.7,76,0,
HF-00138,2022-10-16,organic,free_first_box,Classic,4,2,40.86,58,13,0.23,1,1,1,14,4.0,2.8,50,0,
HF-00139,2023-01-14,paid_social,50_percent,Family,3,4,58.67,53,14,0.27,2,2,2,5,3.6,3.3,38,0,
HF-00140,2024-02-12,paid_social,30_percent,Fit_and_Wholesome,2,4,41.65,33,9,0.28,1,3,1,5,5.0,2.5,100,1,32
HF-00141,2023-05-05,influencer,free_first_box,Classic,3,4,58.17,51,12,0.23,1,1,1,10,4.6,3.2,62,0,
HF-00142,2022-08-19,paid_social,50_percent,Classic,2,2,21.73,48,11,0.23,1,1,1,12,4.0,2.3,70,0,
HF-00143,2022-02-10,organic,50_percent,Classic,3,4,62.5,66,2,0.04,1,0,0,15,5.0,3.9,100,0,
HF-00144,2022-01-28,tv_ad,50_percent,Fit_and_Wholesome,4,4,81.87,68,0,0.0,1,0,0,13,5.0,2.9,99,0,
HF-00145,2022-05-15,referral,30_percent,Classic,3,4,59.19,51,8,0.16,0,2,1,19,5.0,2.2,100,0,
HF-00146,2022-07-20,paid_social,30_percent,Veggie,2,4,35.67,78,11,0.13,2,3,1,11,5.0,2.1,98,1,56
HF-00147,2024-04-19,organic,50_percent,Classic,4,4,81.0,85,3,0.04,0,0,1,16,4.8,2.7,95,0,
HF-00148,2024-02-19,influencer,30_percent,Pescatarian,2,2,19.71,57,6,0.11,0,1,1,10,4.6,2.9,100,0,
HF-00149,2022-02-02,referral,50_percent,Classic,4,2,37.96,72,0,0.0,1,0,0,14,5.0,1.7,100,0,
HF-00150,2022-02-17,tv_ad,50_percent,Pescatarian,3,4,58.77,50,14,0.28,2,1,1,7,5.0,2.8,74,0,
HF-00151,2023-05-18,paid_social,50_percent,Family,3,2,32.81,1,1,0.57,3,4,3,5,4.7,3.4,54,1,1
HF-00152,2023-02-11,referral,50_percent,Classic,4,2,37.65,64,12,0.18,1,0,1,13,5.0,2.7,100,0,
HF-00153,2023-07-28,organic,50_percent,Veggie,4,2,40.86,88,6,0.06,1,0,1,19,4.8,3.0,90,0,
HF-00154,2023-12-29,influencer,free_first_box,Classic,2,4,40.36,51,10,0.19,1,1,2,21,3.6,3.9,-5,0,
HF-00155,2024-03-15,paid_social,50_percent,Pescatarian,2,2,19.25,54,1,0.01,1,2,0,19,5.0,1.0,94,0,
HF-00156,2022-04-09,influencer,30_percent,Veggie,4,4,81.13,62,4,0.06,2,0,1,15,4.9,2.7,81,0,
HF-00157,2023-11-15,referral,30_percent,Classic,2,2,23.22,90,3,0.04,0,1,0,23,4.4,1.1,75,0,
HF-00158,2024-05-21,paid_social,30_percent,Classic,3,2,29.35,29,10,0.33,2,2,2,8,4.2,3.1,9,1,26
HF-00159,2023-12-27,paid_social,none,Classic,4,2,39.43,97,7,0.07,1,1,0,24,5.0,3.3,100,0,
HF-00160,2023-07-01,influencer,30_percent,Family,3,2,31.18,41,6,0.15,0,0,1,14,5.0,2.5,75,0,
HF-00161,2024-01-09,paid_social,30_percent,Fit_and_Wholesome,4,4,81.68,67,1,0.01,0,0,0,20,5.0,2.3,28,0,
HF-00162,2023-09-05,paid_social,50_percent,Pescatarian,4,4,79.58,53,6,0.11,0,2,0,14,3.4,3.8,-5,1,38
HF-00163,2023-04-07,paid_social,free_first_box,Classic,3,4,59.27,46,10,0.21,2,2,2,7,3.6,3.2,17,0,
HF-00164,2023-10-05,influencer,none,Classic,4,2,35.48,79,6,0.08,0,1,0,20,5.0,2.7,81,0,
HF-00165,2024-02-08,organic,50_percent,Family,3,2,28.38,62,11,0.18,0,1,1,8,4.8,3.8,100,0,
HF-00166,2022-01-05,organic,50_percent,Classic,3,2,27.66,61,8,0.12,1,0,0,14,5.0,1.8,64,0,
HF-00167,2022-08-06,paid_social,none,Family,3,2,31.31,65,0,0.0,1,1,0,17,4.7,2.4,73,0,
HF-00168,2023-05-18,organic,free_first_box,Classic,4,2,39.43,77,2,0.02,1,1,0,16,5.0,2.8,97,0,
HF-00169,2024-02-06,referral,50_percent,Classic,4,4,79.27,75,1,0.01,2,1,1,13,5.0,3.2,62,0,
HF-00170,2023-02-02,influencer,30_percent,Fit_and_Wholesome,2,2,19.94,73,0,0.0,1,1,0,18,4.0,2.3,49,0,
HF-00171,2024-05-20,influencer,50_percent,Family,3,2,28.2,53,10,0.19,2,4,2,6,3.2,2.8,21,1,43
HF-00172,2024-03-05,paid_social,30_percent,Family,5,4,102.91,36,10,0.27,3,2,0,11,4.6,2.9,16,1,22
HF-00173,2023-01-28,organic,50_percent,Classic,3,2,32.54,73,19,0.27,1,2,1,20,4.7,2.7,32,0,
HF-00174,2022-07-26,paid_social,none,Classic,2,4,43.16,59,0,0.0,1,1,1,18,4.5,2.9,97,0,
HF-00175,2022-01-15,referral,free_first_box,Veggie,3,4,61.25,75,2,0.03,1,0,1,16,4.3,3.1,-2,0,
HF-00176,2024-05-07,paid_social,50_percent,Veggie,5,2,49.84,74,7,0.09,0,1,1,15,4.8,3.4,33,0,
HF-00177,2023-07-08,paid_social,50_percent,Fit_and_Wholesome,4,2,43.15,41,12,0.3,2,2,1,5,4.6,1.8,98,0,
HF-00178,2024-06-10,paid_social,30_percent,Classic,4,4,78.48,48,9,0.18,1,2,0,15,3.7,2.8,75,0,
HF-00179,2023-04-06,organic,50_percent,Family,2,2,18.22,56,2,0.03,1,1,0,15,5.0,2.5,100,0,
HF-00180,2023-11-22,paid_social,50_percent,Veggie,4,2,38.72,75,1,0.01,0,1,0,13,4.5,3.7,-8,0,
HF-00181,2023-07-29,organic,50_percent,Pescatarian,3,4,60.93,71,6,0.08,0,0,0,18,4.6,4.0,83,0,
HF-00182,2024-05-13,referral,50_percent,Veggie,4,2,38.4,81,7,0.08,1,0,1,10,5.0,3.2,100,0,
HF-00183,2024-01-13,paid_social,50_percent,Classic,3,2,29.63,1,0,0.37,2,2,1,5,4.1,2.7,7,0,
HF-00184,2022-08-29,organic,free_first_box,Family,2,4,36.72,50,8,0.16,1,2,1,13,4.7,3.0,79,0,
HF-00185,2023-07-18,paid_social,50_percent,Veggie,3,4,60.84,60,4,0.07,0,0,0,13,4.5,2.9,54,1,25
HF-00186,2022-04-06,referral,free_first_box,Pescatarian,2,2,16.93,48,7,0.15,1,1,1,9,4.7,2.3,100,1,14
HF-00187,2024-06-18,organic,free_first_box,Family,4,2,38.06,79,17,0.21,0,1,0,8,3.8,2.6,61,0,
HF-00188,2024-01-04,paid_social,50_percent,Fit_and_Wholesome,5,2,52.33,48,6,0.13,2,2,1,11,4.7,2.4,50,1,30
HF-00189,2023-04-30,paid_social,30_percent,Veggie,3,2,32.3,28,8,0.28,2,1,1,8,4.7,2.1,67,1,25
HF-00190,2023-02-11,paid_social,50_percent,Classic,4,4,80.59,72,24,0.33,0,2,0,11,3.0,2.1,47,0,
HF-00191,2022-08-19,tv_ad,free_first_box,Classic,3,4,60.43,78,14,0.18,1,2,0,10,3.7,3.3,67,1,25
HF-00192,2024-01-19,organic,30_percent,Classic,4,4,78.78,93,0,0.0,1,0,0,22,4.0,2.7,50,0,
HF-00193,2023-10-17,organic,50_percent,Classic,4,2,38.37,62,21,0.35,2,1,1,11,5.0,2.6,100,0,
HF-00194,2022-06-20,organic,free_first_box,Classic,4,2,39.2,52,10,0.2,1,2,0,10,4.2,2.0,85,0,
HF-00195,2023-06-25,paid_social,30_percent,Classic,3,2,26.91,6,2,0.3,2,3,1,0,4.0,3.3,9,1,6
HF-00196,2022-02-05,referral,50_percent,Classic,3,2,30.44,84,0,0.0,0,0,0,20,5.0,2.2,100,0,
HF-00197,2023-06-09,organic,30_percent,Classic,4,2,40.02,70,0,0.0,1,1,1,15,5.0,1.7,100,0,
HF-00198,2022-06-09,paid_social,none,Classic,2,2,18.09,69,0,0.0,0,1,0,23,5.0,3.4,100,0,
HF-00199,2024-04-18,paid_social,50_percent,Classic,4,2,43.06,24,10,0.43,3,3,1,2,4.0,3.2,28,1,22
HF-00200,2023-11-30,paid_social,none,Fit_and_Wholesome,5,4,101.01,56,7,0.12,2,1,1,5,5.0,2.4,94,0,
HF-00201,2022-08-31,referral,30_percent,Veggie,3,4,61.26,77,0,0.0,0,0,0,16,5.0,2.4,100,0,
HF-00202,2022-03-27,tv_ad,free_first_box,Classic,4,2,38.95,42,14,0.33,2,1,2,11,4.1,2.8,37,0,
HF-00203,2024-03-06,paid_social,30_percent,Veggie,4,2,39.92,35,12,0.33,2,2,0,16,5.0,2.8,100,0,
HF-00204,2023-08-01,referral,free_first_box,Fit_and_Wholesome,3,4,61.13,74,15,0.2,1,2,0,13,5.0,1.6,100,0,
HF-00205,2023-11-13,paid_social,free_first_box,Classic,3,4,60.19,1,1,0.62,2,4,2,1,3.2,2.6,-66,1,1
HF-00206,2023-07-11,tv_ad,30_percent,Veggie,4,2,43.12,75,0,0.0,0,1,0,22,5.0,2.6,86,0,
HF-00207,2023-07-28,paid_social,none,Family,3,4,59.47,54,12,0.22,1,1,0,13,5.0,1.5,78,0,
HF-00208,2023-10-08,referral,50_percent,Pescatarian,2,4,38.91,71,10,0.14,0,1,1,16,4.7,1.4,100,0,
HF-00209,2024-03-06,organic,50_percent,Classic,4,2,41.19,44,11,0.24,3,2,2,6,2.8,3.4,52,0,
HF-00210,2022-01-28,organic,none,Veggie,3,2,27.41,76,0,0.0,0,0,0,20,5.0,2.6,100,0,
HF-00211,2023-09-12,referral,50_percent,Classic,4,2,41.77,74,0,0.0,0,0,0,14,5.0,2.6,97,0,
HF-00212,2023-07-10,paid_social,none,Veggie,2,2,17.36,66,12,0.17,0,2,1,9,4.7,1.8,88,0,
